  Verrucomicrobia Chlamydiae stramenopiles Aquificae Actinobacteria Chlorobi Diplomonadida Lobosea Euglenozoa unclassified Cyanobacteria Lentisphaerae Rhodophyta candidate Viridiplantae Mycetozoa Thermotogales Dictyoglomi artificial ssDNA Pelobiontida Nitrospirae Deinococcus-Thermus Proteobacteria Tenericutes Acidobacteria Spirochaetes Plasmodiophorida Firmicutes dsDNA Chloroflexi Planctomycetes Fungi environmental plasmids Cryptophyta Fusobacteria Korarchaeota ssRNA Crenarchaeota Alveolata Entamoebidae Jakobidae Nanoarchaeota Bacteroidetes Rhizaria dsRNA Parabasalidea Metazoa Acanthamoebidae Thermotogae Glaucocystophyceae Fibrobacteres Euryarchaeota Spirochaetales
81 1 242 3433 43 42 1313 88 206 411 306 1 1395 141 2 2 8 191 613 23 6157 3479 19 1 0 9 1 5 3203 38 2 1 15 1 115 3 15613 5 11 1 293 90 276 3 243 4977 4 38 397 2 574 5 1 5136 83 1 
82 2 260 3489 45 31 1315 93 194 441 302 1 1354 134 4 1 14 192 633 18 6194 3453 22 1 1 5 0 6 3134 38 3 0 24 0 126 1 15718 7 13 0 300 77 280 2 252 4986 5 47 391 2 596 6 2 5008 70 1 
83 2 247 3506 52 35 1367 82 220 414 274 1 1358 138 4 3 11 206 624 19 6171 3462 18 3 0 4 0 4 3203 41 1 1 20 1 123 2 15466 5 17 1 289 67 297 1 255 5021 3 39 390 2 580 6 0 5091 82 2 
84 1 245 3490 47 45 1309 86 234 427 281 2 1338 125 7 2 9 188 639 19 6221 3496 19 2 0 7 1 6 3078 33 1 1 19 2 131 1 15524 4 14 1 310 80 279 1 247 5130 4 42 369 2 537 5 0 5083 77 1 
85 2 268 3504 51 47 1282 94 223 423 310 2 1314 145 5 3 11 199 660 22 6110 3386 23 0 1 8 0 4 3112 41 1 0 21 1 132 1 15657 4 10 1 299 61 282 2 261 5175 6 37 380 0 589 4 0 4997 75 2 
86 2 232 3435 43 47 1322 95 206 447 290 1 1327 149 3 1 10 198 642 20 6187 3512 15 2 1 8 0 5 3178 43 3 0 19 1 125 2 15459 3 15 0 300 78 266 1 237 5142 4 29 399 1 583 4 2 5105 73 0 
87 2 245 3397 51 42 1289 93 215 431 299 1 1359 137 3 1 13 197 637 24 6246 3418 22 1 1 5 1 3 3160 37 2 1 19 1 118 1 15587 3 8 1 298 80 287 2 260 5127 4 45 389 2 582 7 1 5054 76 1 
88 3 253 3493 47 38 1320 84 206 443 294 1 1396 145 4 2 10 194 636 25 6209 3467 21 3 1 8 0 6 3170 33 2 1 25 2 133 1 15548 5 11 0 298 77 282 1 246 5038 2 40 391 1 577 6 1 5011 69 0 
89 1 267 3472 41 33 1273 90 209 415 292 1 1344 131 5 1 13 195 611 24 6124 3384 15 2 1 9 1 1 3167 37 1 0 24 2 129 3 15666 4 17 1 323 76 289 1 265 5082 4 38 403 1 595 3 1 5076 77 2 
90 2 254 3412 43 42 1311 86 228 429 305 2 1346 129 6 1 9 212 630 21 6187 3432 20 3 1 8 0 2 3186 38 1 1 19 1 126 0 15598 6 11 1 276 79 287 1 237 5154 4 41 415 1 566 4 2 5024 75 1 
91 3 226 3556 54 35 1286 86 212 426 308 0 1369 137 6 2 11 194 647 19 6104 3428 17 1 0 4 1 3 3177 30 1 0 21 2 131 1 15607 7 9 1 307 86 298 2 262 5061 4 38 410 1 582 4 1 5038 69 1 
92 2 257 3451 45 46 1292 88 211 429 282 2 1322 144 4 0 12 192 630 26 6201 3439 16 3 0 7 0 4 3203 45 1 1 21 0 125 1 15607 6 13 0 299 70 284 3 259 5021 6 37 402 1 566 4 0 5084 69 2 
93 2 263 3474 47 47 1317 91 204 431 284 0 1347 140 6 2 13 192 621 21 6080 3444 16 3 0 9 0 4 3160 40 2 1 25 2 130 2 15722 5 12 0 306 80 279 0 259 5111 6 38 403 1 558 4 0 5006 65 1 
94 2 247 3463 50 34 1298 91 229 438 295 1 1415 138 4 1 12 197 632 24 6120 3381 17 0 0 8 0 4 3146 41 3 1 27 1 140 2 15549 4 9 0 311 88 281 1 261 5084 4 43 367 2 579 5 1 5133 91 1 
95 2 267 3456 52 33 1289 88 197 426 312 2 1362 139 3 2 9 192 672 26 6091 3419 22 1 1 6 0 7 3204 42 3 0 23 1 125 2 15573 7 15 1 301 83 267 3 252 5140 6 44 392 0 589 5 0 5077 75 1 
96 1 246 3460 48 38 1311 96 219 441 303 1 1377 130 2 1 11 191 608 21 6107 3421 24 2 0 6 0 4 3137 39 0 1 17 2 122 2 15652 4 14 0 309 79 280 1 248 5095 4 39 391 2 593 5 0 5077 80 0 
97 2 254 3480 55 34 1298 92 206 424 295 1 1320 144 3 1 12 198 619 26 6181 3363 21 2 1 8 1 4 3094 41 2 1 20 2 129 0 15626 3 13 0 316 73 292 3 242 5118 4 44 414 2 581 4 1 5103 71 1 
98 1 233 3469 50 48 1284 76 223 432 300 2 1384 136 6 2 9 202 651 21 6181 3465 24 2 0 10 1 4 3240 37 1 1 17 1 115 0 15471 4 15 1 280 80 283 1 256 5059 5 44 405 2 580 5 1 5058 77 2 
