  LD GT CB CE PL GH
708 3256 6094 16524 20987 47 531 
709 3281 6073 16532 20938 50 578 
710 3243 5889 16789 20902 39 587 
711 3352 5885 16565 21023 43 579 
712 3342 5856 16746 20952 35 554 
713 3340 5842 16633 20994 43 562 
714 3279 5887 16541 21111 49 557 
715 3327 6077 16562 20903 44 549 
716 3277 6003 16640 20981 38 560 
717 3346 5944 16544 21049 37 561 
718 3334 5889 16653 20970 54 579 
719 3264 5899 16671 20982 52 559 
720 3305 5962 16601 21072 42 596 
721 3271 5910 16622 21036 52 570 
722 3274 5953 16666 20927 51 572 
723 3230 5887 16642 21030 43 572 
724 3345 5955 16585 21014 34 563 
725 3322 5887 16699 21001 43 562 
726 3372 5955 16539 20913 39 551 
727 3386 5983 16459 21075 35 563 
728 3292 5982 16660 20944 39 519 
729 3371 5982 16579 20932 32 532 
730 3224 5803 16758 20965 40 569 
731 3265 5948 16598 21086 35 560 
732 3260 5919 16567 21195 30 540 
