  Verrucomicrobia Chlamydiae Aquificae Actinobacteria Chlorobi Lobosea Euglenozoa Cyanobacteria ssDNA candidate Viridiplantae Mycetozoa Dictyoglomi Deinococcus-Thermus Proteobacteria Tenericutes Acidobacteria Spirochaetes Plasmodiophorida Firmicutes dsDNA Chloroflexi Planctomycetes Fungi environmental Fusobacteria Entamoebidae Crenarchaeota Alveolata Korarchaeota Jakobidae Bacteroidetes Rhizaria Parabasalidea Metazoa Thermotogae Fibrobacteres Euryarchaeota
113 5136 5512 122 47 4867 29 525 1797 425 2998 372 4 0 2 1115 7 3331 1664 12 1 13 0 549 65 2 1061 0 16238 0 103 20 274 1508 1129 94 56 600 0 
114 5210 5528 102 60 4994 30 525 1867 422 3072 381 3 1 5 1119 5 3467 1605 19 1 14 1 505 72 0 985 0 15973 0 113 17 316 1500 1040 81 70 595 0 
115 5166 5667 111 50 4978 33 478 1798 426 3114 379 3 2 0 1052 8 3437 1616 13 0 13 2 547 59 1 1036 0 15823 0 120 14 285 1565 1127 99 55 596 0 
116 5325 5524 111 44 4967 27 528 1846 402 3001 378 3 1 6 1066 3 3440 1639 21 0 5 4 507 61 0 1045 0 15949 0 107 20 261 1566 1069 94 56 613 1 
117 5210 5626 115 54 4921 37 514 1816 398 3044 374 6 2 4 1096 5 3335 1622 18 1 17 5 510 59 1 1096 0 15997 0 131 21 275 1543 1092 91 65 604 0 
118 5297 5592 112 45 4962 24 544 1835 418 3081 373 4 0 2 1074 5 3409 1614 20 0 12 2 556 63 0 1044 1 15773 0 132 16 271 1585 1042 76 81 639 0 
119 5234 5641 114 56 4911 28 525 1818 393 2950 377 2 3 6 1104 10 3391 1636 17 1 12 1 524 66 1 1068 0 16031 0 131 15 286 1538 1062 80 53 598 1 
120 5243 5608 94 56 4796 33 534 1807 452 3052 370 5 1 6 1107 7 3425 1700 22 0 12 2 548 67 0 1014 0 15921 0 108 16 311 1573 1082 71 68 557 0 
121 5289 5552 111 48 5069 33 504 1822 396 2919 392 3 4 6 1104 6 3411 1643 14 0 12 4 518 70 0 1050 1 15951 0 119 23 293 1477 1078 101 61 605 1 
122 5288 5601 115 45 4930 32 551 1828 392 3128 401 4 2 4 1099 6 3478 1608 18 0 17 0 534 70 1 1086 0 15717 0 117 9 268 1536 1077 80 52 583 0 
123 5231 5579 109 48 4873 42 496 1810 434 3172 378 3 4 5 1113 4 3414 1629 25 2 12 1 549 60 2 1076 0 15937 0 122 14 306 1463 1053 99 49 575 1 
124 5257 5534 125 63 4933 45 522 1834 432 3075 359 6 2 4 1058 7 3404 1611 14 0 21 2 530 67 0 1029 0 15942 1 126 19 284 1570 1061 88 66 576 0 
125 5256 5648 113 52 4913 23 551 1779 418 3072 386 6 1 5 1116 5 3404 1645 21 0 13 3 501 69 0 1071 0 15850 1 136 20 293 1529 1022 88 68 604 0 
126 5163 5628 116 55 4925 29 531 1848 389 3087 374 4 4 6 1166 5 3438 1624 20 1 12 0 519 69 1 1033 0 15923 0 124 17 291 1530 1051 90 58 555 0 
127 5294 5624 107 61 4937 31 525 1742 400 3033 375 1 1 2 1097 2 3431 1666 18 0 10 2 534 54 2 1078 1 15887 0 118 21 268 1509 1084 102 56 606 0 
128 5319 5553 112 57 4878 35 488 1879 395 2989 373 6 2 5 1156 4 3437 1618 21 0 14 2 532 56 1 1039 0 15897 0 106 12 298 1572 1034 97 75 606 0 
129 5125 5670 101 49 4942 30 498 1886 445 2958 356 3 1 5 1137 4 3515 1652 19 0 12 3 501 61 0 1077 0 15890 0 124 23 278 1501 1076 94 52 587 0 
130 5201 5594 110 53 4902 27 462 1792 376 3189 389 8 3 3 1059 3 3532 1618 13 1 13 2 548 62 2 1070 0 15889 0 136 18 295 1517 1019 89 62 595 0 
131 5280 5563 111 70 4912 42 531 1807 409 3111 377 3 3 5 1059 6 3433 1600 17 0 13 2 541 61 3 1032 0 15923 0 137 17 267 1542 1043 95 60 592 1 
132 5241 5544 97 50 4919 27 563 1830 394 3056 364 2 1 3 1076 5 3395 1592 19 1 10 2 549 65 2 1093 0 16044 0 117 17 280 1486 1084 97 67 572 0 
133 5175 5699 100 55 4857 28 502 1843 412 3115 382 2 2 4 1080 8 3442 1639 9 0 8 1 516 59 1 1053 0 15903 0 127 16 282 1571 1057 86 66 548 0 
134 5228 5570 93 53 4932 28 507 1871 401 3092 361 3 2 5 1085 4 3473 1650 21 0 14 0 515 63 0 1060 0 15856 0 136 13 274 1495 1114 83 67 592 0 
135 5271 5627 104 52 4951 22 507 1766 409 3041 365 7 4 4 1094 2 3450 1644 16 1 12 3 524 57 0 1048 0 15914 0 124 13 317 1565 1030 85 55 606 0 
136 5295 5584 117 61 4827 37 539 1870 398 3109 377 2 1 3 1050 6 3306 1646 11 1 14 1 503 59 0 1059 1 16070 0 130 19 297 1458 1085 81 52 614 0 
137 5235 5686 112 62 4787 36 498 1829 386 3011 378 4 3 3 1049 1 3474 1590 19 1 12 2 546 72 0 1037 0 16090 0 138 17 285 1546 1009 90 70 606 1 
138 5303 5555 104 49 4943 33 520 1824 407 3041 364 5 2 3 1076 5 3429 1622 11 1 12 1 490 65 1 1042 0 16033 0 129 18 286 1508 1055 88 67 582 0 
139 5140 5680 111 59 4832 35 520 1793 420 3056 388 1 2 7 1106 6 3460 1717 15 0 11 0 529 72 0 1071 0 15941 1 122 15 284 1487 1067 98 64 573 0 
