  LD GT CB CE LO PL GH
509 3132 3200 22348 20120 1 1 618 
510 3060 3270 22416 20123 1 1 585 
511 3185 3231 22308 20096 1 0 601 
512 3090 3230 22405 20109 2 0 614 
513 3171 3269 22236 20198 0 0 570 
514 3130 3254 22374 20075 2 0 599 
515 3092 3258 22288 20227 1 0 569 
516 3123 3323 22266 20124 1 1 599 
517 3066 3219 22536 19992 2 1 591 
518 3103 3243 22413 20124 1 0 579 
519 3089 3183 22444 20069 1 1 603 
520 3191 3272 22265 20086 1 1 613 
521 3048 3220 22449 20117 1 1 605 
522 3075 3237 22345 20155 2 1 605 
523 3170 3287 22293 20094 2 1 585 
524 3122 3257 22222 20199 2 0 640 
525 3100 3169 22402 20122 1 0 640 
526 3050 3294 22372 20079 0 1 599 
527 3086 3244 22318 20191 2 1 609 
528 3090 3278 22359 20073 2 1 627 
529 3051 3242 22383 20182 1 1 574 
530 3108 3257 22264 20234 0 0 592 
531 3107 3250 22283 20176 0 0 610 
532 3143 3271 22409 19999 2 1 590 
533 3068 3279 22293 20192 0 1 616 
534 3150 3221 22344 20069 2 0 605 
535 3104 3272 22420 20063 0 0 583 
536 3119 3256 22358 20044 0 1 618 
537 3118 3271 22430 20009 1 1 606 
538 3076 3237 22450 20074 1 0 599 
539 3037 3199 22436 20137 1 1 621 
540 3155 3215 22409 20041 1 0 604 
541 3169 3230 22391 20030 1 1 574 
542 3040 3331 22289 20140 1 1 632 
543 3132 3291 22314 20100 2 0 588 
544 3091 3242 22530 19961 1 0 605 
545 3122 3311 22247 20172 2 1 587 
546 3030 3290 22298 20173 2 1 619 
547 3122 3250 22408 20036 1 1 607 
548 3067 3293 22384 20088 1 0 593 
549 3057 3259 22370 20186 1 1 581 
550 3112 3238 22386 20080 1 1 612 
551 3078 3242 22448 20014 0 1 618 
552 3096 3219 22379 20123 2 0 589 
553 3110 3202 22307 20224 1 0 584 
554 3081 3224 22331 20182 1 0 606 
555 3135 3192 22484 19995 2 1 639 
556 3090 3256 22289 20175 2 0 602 
557 3101 3258 22325 20141 2 0 599 
558 3083 3220 22324 20205 1 1 579 
559 3155 3227 22312 20114 0 1 617 
560 3137 3246 22381 20086 1 0 576 
561 3084 3147 22296 20251 2 0 623 
562 3202 3235 22429 19996 2 0 587 
563 3116 3269 22452 20004 1 1 582 
564 3129 3245 22331 20119 1 1 619 
565 3146 3236 22316 20147 0 0 591 
566 3133 3274 22209 20208 1 0 612 
567 3091 3224 22393 20108 1 0 622 
568 3099 3279 22366 20078 1 0 593 
569 3063 3283 22385 20116 0 0 595 
570 3106 3229 22422 20049 1 1 591 
571 3066 3286 22443 20065 2 0 572 
572 3113 3225 22294 20176 2 0 621 
573 3041 3295 22298 20174 2 0 607 
574 3074 3298 22361 20097 1 1 591 
575 3069 3227 22369 20182 0 1 589 
576 3098 3312 22383 20027 1 1 617 
